SALESORDERID,CREATEDBY,CREATEDAT,CHANGEDBY,CHANGEDAT,FISCVARIANT,FISCALYEARPERIOD,NOTEID,PARTNERID,SALESORG,CURRENCY,GROSSAMOUNT,NETAMOUNT,TAXAMOUNT,LIFECYCLESTATUS,BILLINGSTATUS,DELIVERYSTATUS
500000019,12,20230207,12,20230210,K4,2018002,,100000034,AMER,USD,27515,24075.625,3439.375,C,C,C
500000020,11,20230209,11,20230212,K4,2018002,,100000001,AMER,USD,57880,50645.0,7235.0,C,C,C
500000021,7,20230209,7,20230212,K4,2018002,,100000001,AMER,USD,379,331.625,47.375,C,C,C
500000022,3,20230210,3,20230214,K4,2018002,,100000011,EMEA,USD,6950,6081.25,868.75,C,C,C
500000023,3,20230213,3,20230217,K4,2018002,,100000012,EMEA,USD,85808,75082.0,10726.0,C,C,C
500000024,4,20230213,4,20230214,K4,2018002,,100000015,APJ,USD,95368,83447.0,11921.0,C,C,C
500000025,2,20230214,2,20230216,K4,2018002,,100000010,EMEA,USD,55575,48628.125,6946.875,C,C,C
500000026,2,20230215,2,20230220,K4,2018002,,100000012,EMEA,USD,85918,75178.25,10739.75,C,C,C
500000027,5,20230218,5,20230221,K4,2018002,,100000016,APJ,USD,104374,91327.25,13046.75,C,C,C
500000028,4,20230219,4,20230223,K4,2018002,,100000019,APJ,USD,70930,62063.75,8866.25,C,C,C
500000029,5,20230220,5,20230222,K4,2018002,,100000020,APJ,USD,95673,83713.875,11959.125,C,C,C
500000030,8,20230222,8,20230226,K4,2018002,,100000028,EMEA,USD,76022,66519.25,9502.75,C,C,C
500000031,2,20230223,2,20230225,K4,2018002,,100000011,EMEA,USD,49552,43358.0,6194.0,C,C,C
500000032,9,20230223,9,20230228,K4,2018002,,100000030,AMER,USD,57255,50098.125,7156.875,C,C,C
500000033,4,20230224,4,20230228,K4,2018002,,100000023,APJ,USD,73179,64031.625,9147.375,C,C,C
500000034,4,20230227,4,20230303,K4,2018002,,100000021,APJ,USD,30737,26894.875,3842.125,C,C,C
500000035,14,20230301,14,20230302,K4,2018003,,100000004,AMER,USD,50897,44534.875,6362.125,C,C,C
500000036,2,20230302,2,20230305,K4,2018003,,100000010,EMEA,USD,96759,84664.125,12094.875,C,C,C
500000037,8,20230303,8,20230308,K4,2018003,,100000038,EMEA,USD,6048,5292.0,756.0,C,C,C
500000038,9,20230304,9,20230305,K4,2018003,,100000001,AMER,USD,46443,40637.625,5805.375,C,C,C
500000039,2,20230305,2,20230306,K4,2018003,,100000007,EMEA,USD,13248,11592.0,1656.0,C,C,C
500000040,8,20230306,8,20230311,K4,2018003,,100000005,EMEA,USD,43638,38183.25,5454.75,C,C,C
500000041,8,20230307,8,20230308,K4,2018003,,100000009,EMEA,USD,29100,25462.5,3637.5,C,C,C
500000042,6,20230310,6,20230314,K4,2018003,,100000025,EMEA,USD,31474,27539.75,3934.25,C,C,C
500000043,6,20230311,6,20230313,K4,2018003,,100000039,EMEA,USD,35479,31044.125,4434.875,C,C,C
500000044,4,20230314,4,20230317,K4,2018003,,100000021,APJ,USD,1266,1107.75,158.25,C,C,C
500000045,2,20230316,2,20230320,K4,2018003,,100000014,EMEA,USD,9000,7875.0,1125.0,C,C,C
500000046,4,20230319,4,20230321,K4,2018003,,100000024,APJ,USD,95561,83615.875,11945.125,C,C,C
500000047,8,20230320,8,20230322,K4,2018003,,100000038,EMEA,USD,2288,2002.0,286.0,C,C,C
500000048,6,20230321,6,20230326,K4,2018003,,100000014,EMEA,USD,60113,52598.875,7514.125,C,C,C
500000049,8,20230321,8,20230325,K4,2018003,,100000009,EMEA,USD,75646,66190.25,9455.75,C,C,C
500000050,4,20230324,4,20230326,K4,2018003,,100000020,APJ,USD,56388,49339.5,7048.5,C,C,C
500000051,4,20230327,4,20230401,K4,2018003,,100000021,APJ,USD,21980,19232.5,2747.5,C,C,C
500000052,5,20230328,5,20230401,K4,2018003,,100000022,APJ,USD,15643,13687.625,1955.375,C,C,C
500000053,2,20230329,2,20230331,K4,2018003,,100000039,EMEA,USD,23778,20805.75,2972.25,C,C,C
500000054,9,20230330,9,20230403,K4,2018003,,100000030,AMER,USD,37718,33003.25,4714.75,C,C,C
500000055,3,20230401,3,20230404,K4,2018004,,100000014,EMEA,USD,70615,61788.125,8826.875,C,C,C
500000056,1,20230403,1,20230404,K4,2018004,,100000033,AMER,USD,98082,85821.75,12260.25,C,C,C
500000057,9,20230406,9,20230410,K4,2018004,,100000034,AMER,USD,29441,25760.875,3680.125,C,C,C
500000058,7,20230407,7,20230409,K4,2018004,,100000000,AMER,USD,82715,72375.625,10339.375,C,C,C
500000059,2,20230410,2,20230412,K4,2018004,,100000009,EMEA,USD,50763,44417.625,6345.375,C,C,C
500000060,4,20230413,4,20230414,K4,2018004,,100000015,APJ,USD,55380,48457.5,6922.5,C,C,C
500000061,3,20230415,3,20230419,K4,2018004,,100000008,EMEA,USD,52312,45773.0,6539.0,C,C,C
500000062,11,20230416,11,20230419,K4,2018004,,100000003,AMER,USD,1598,1398.25,199.75,C,C,C
500000063,9,20230419,9,20230422,K4,2018004,,100000004,AMER,USD,157214,137562.25,19651.75,C,C,C
500000064,4,20230420,4,20230422,K4,2018004,,100000023,APJ,USD,86746,75902.75,10843.25,C,C,C
500000065,4,20230422,4,20230423,K4,2018004,,100000016,APJ,USD,79857,69874.875,9982.125,C,C,C
500000066,13,20230424,13,20230425,K4,2018004,,100000032,AMER,USD,3245,2839.375,405.625,C,C,C
500000067,6,20230424,6,20230428,K4,2018004,,100000029,EMEA,USD,30531,26714.625,3816.375,C,C,C
500000068,6,20230424,6,20230426,K4,2018004,,100000010,EMEA,USD,61101,53463.375,7637.625,C,C,C
500000069,2,20230426,2,20230430,K4,2018004,,100000009,EMEA,USD,60306,52767.75,7538.25,C,C,C
500000070,9,20230427,9,20230502,K4,2018004,,100000034,AMER,USD,51608,45157.0,6451.0,C,C,C
500000071,4,20230427,4,20230429,K4,2018004,,100000023,APJ,USD,20880,18270.0,2610.0,C,C,C
500000072,5,20230427,5,20230428,K4,2018004,,100000021,APJ,USD,127657,111699.875,15957.125,C,C,C
500000073,8,20230428,8,20230430,K4,2018004,,100000006,EMEA,USD,8091,7079.625,1011.375,C,C,C
500000074,6,20230501,6,20230503,K4,2018005,,100000028,EMEA,USD,115705,101241.875,14463.125,C,C,C
500000075,5,20230504,5,20230507,K4,2018005,,100000015,APJ,USD,97518,85328.25,12189.75,C,C,C
500000076,1,20230506,1,20230511,K4,2018005,,100000033,AMER,USD,102586,89762.75,12823.25,C,C,C
500000077,4,20230506,4,20230508,K4,2018005,,100000017,APJ,USD,28086,24575.25,3510.75,C,C,C
500000078,10,20230509,10,20230511,K4,2018005,,100000001,AMER,USD,62302,54514.25,7787.75,C,C,C
500000079,1,20230511,1,20230516,K4,2018005,,100000032,AMER,USD,59180,51782.5,7397.5,C,C,C
500000080,13,20230513,13,20230517,K4,2018005,,100000004,AMER,USD,103772,90800.5,12971.5,C,C,C
500000081,1,20230516,1,20230519,K4,2018005,,100000032,AMER,USD,24845,21739.375,3105.625,C,C,C
500000082,3,20230519,3,20230522,K4,2018005,,100000012,EMEA,USD,12989,11365.375,1623.625,C,C,C
500000083,3,20230519,3,20230523,K4,2018005,,100000035,EMEA,USD,29118,25478.25,3639.75,C,C,C
500000084,6,20230519,6,20230523,K4,2018005,,100000027,EMEA,USD,87561,76615.875,10945.125,C,C,C
500000085,10,20230521,10,20230525,K4,2018005,,100000002,AMER,USD,48373,42326.375,6046.625,C,C,C
500000086,14,20230523,14,20230524,K4,2018005,,100000004,AMER,USD,21695,18983.125,2711.875,C,C,C
500000087,3,20230525,3,20230526,K4,2018005,,100000029,EMEA,USD,70368,61572.0,8796.0,C,C,C
500000088,10,20230528,10,20230602,K4,2018005,,100000002,AMER,USD,73949,64705.375,9243.625,C,C,C
500000089,13,20230530,13,20230603,K4,2018005,,100000033,AMER,USD,41484,36298.5,5185.5,C,C,C
500000090,10,20230601,10,20230603,K4,2018006,,100000001,AMER,USD,86264,75481.0,10783.0,C,C,C
500000091,2,20230603,2,20230607,K4,2018006,,100000035,EMEA,USD,28191,24667.125,3523.875,C,C,C
500000092,2,20230606,2,20230609,K4,2018006,,100000037,EMEA,USD,42500,37187.5,5312.5,C,C,C
500000093,4,20230609,4,20230611,K4,2018006,,100000020,APJ,USD,43266,37857.75,5408.25,C,C,C
500000094,4,20230609,4,20230613,K4,2018006,,100000018,APJ,USD,26337,23044.875,3292.125,C,C,C
500000095,8,20230612,8,20230617,K4,2018006,,100000014,EMEA,USD,9593,8393.875,1199.125,C,C,C
500000096,8,20230612,8,20230615,K4,2018006,,100000029,EMEA,USD,97311,85147.125,12163.875,C,C,C
500000097,12,20230614,12,20230615,K4,2018006,,100000032,AMER,USD,59317,51902.375,7414.625,C,C,C
500000098,4,20230615,4,20230616,K4,2018006,,100000024,APJ,USD,109554,95859.75,13694.25,C,C,C
500000099,5,20230617,5,20230619,K4,2018006,,100000015,APJ,USD,41279,36119.125,5159.875,C,C,C
500000100,6,20230619,6,20230623,K4,2018006,,100000014,EMEA,USD,53830,47101.25,6728.75,C,C,C
500000101,13,20230621,13,20230623,K4,2018006,,100000001,AMER,USD,46601,40775.875,5825.125,C,C,C
500000102,8,20230622,8,20230626,K4,2018006,,100000026,EMEA,USD,7191,6292.125,898.875,C,C,C
500000103,8,20230625,8,20230630,K4,2018006,,100000010,EMEA,USD,96695,84608.125,12086.875,C,C,C
500000104,8,20230628,8,20230630,K4,2018006,,100000008,EMEA,USD,17510,15321.25,2188.75,C,C,C
500000105,14,20230630,14,20230704,K4,2018006,,100000030,AMER,USD,55179,48281.625,6897.375,C,C,C
500000106,3,20230703,3,20230706,K4,2018007,,100000005,EMEA,USD,44294,38757.25,5536.75,C,C,C
500000107,12,20230705,12,20230708,K4,2018007,,100000034,AMER,USD,86805,75954.375,10850.625,C,C,C
500000108,11,20230706,11,20230708,K4,2018007,,100000000,AMER,USD,55623,48670.125,6952.875,C,C,C
500000109,4,20230706,4,20230710,K4,2018007,,100000022,APJ,USD,54990,48116.25,6873.75,C,C,C
500000110,3,20230707,3,20230710,K4,2018007,,100000009,EMEA,USD,65091,56954.625,8136.375,C,C,C
500000111,2,20230707,2,20230712,K4,2018007,,100000026,EMEA,USD,30464,26656.0,3808.0,C,C,C
500000112,4,20230710,4,20230713,K4,2018007,,100000017,APJ,USD,62204,54428.5,7775.5,X,X,X
500000113,9,20230712,9,20230715,K4,2018007,,100000001,AMER,USD,107321,93905.875,13415.125,C,C,C
500000114,12,20230713,12,20230716,K4,2018007,,100000034,AMER,USD,14807,12956.125,1850.875,C,C,C
500000115,12,20230715,12,20230717,K4,2018007,,100000003,AMER,USD,75693,66231.375,9461.625,C,C,C
500000116,3,20230716,3,20230717,K4,2018007,,100000036,EMEA,USD,4392,3843.0,549.0,C,C,C
500000117,8,20230719,8,20230722,K4,2018007,,100000027,EMEA,USD,12495,10933.125,1561.875,C,C,C
500000118,4,20230721,4,20230724,K4,2018007,,100000015,APJ,USD,66584,58261.0,8323.0,C,C,C
500000119,4,20230722,4,20230725,K4,2018007,,100000019,APJ,USD,71699,62736.625,8962.375,C,C,C
500000120,4,20230722,4,20230726,K4,2018007,,100000016,APJ,USD,81501,71313.375,10187.625,C,C,C
500000121,5,20230723,5,20230728,K4,2018007,,100000021,APJ,USD,55266,48357.75,6908.25,C,C,C
500000122,5,20230724,5,20230727,K4,2018007,,100000020,APJ,USD,35318,30903.25,4414.75,C,C,C
500000123,1,20230724,1,20230725,K4,2018007,,100000033,AMER,USD,43924,38433.5,5490.5,C,C,C
500000124,3,20230726,3,20230727,K4,2018007,,100000008,EMEA,USD,71289,62377.875,8911.125,C,C,C
500000125,6,20230726,6,20230729,K4,2018007,,100000028,EMEA,USD,32093,28081.375,4011.625,C,C,C
500000126,3,20230727,3,20230728,K4,2018007,,100000006,EMEA,USD,193987,169738.625,24248.375,C,C,C
500000127,4,20230727,4,20230729,K4,2018007,,100000023,APJ,USD,51985,45486.875,6498.125,C,C,C
500000128,1,20230727,1,20230728,K4,2018007,,100000032,AMER,USD,29097,25459.875,3637.125,C,C,C
500000129,3,20230730,3,20230801,K4,2018007,,100000005,EMEA,USD,109947,96203.625,13743.375,C,C,C
500000130,6,20230802,6,20230805,K4,2018008,,100000038,EMEA,USD,110778,96930.75,13847.25,C,C,C
500000131,10,20230805,10,20230810,K4,2018008,,100000001,AMER,USD,86689,75852.875,10836.125,C,C,C
500000132,8,20230808,8,20230809,K4,2018008,,100000029,EMEA,USD,17493,15306.375,2186.625,C,C,C
500000133,5,20230811,5,20230815,K4,2018008,,100000016,APJ,USD,6003,5252.625,750.375,C,C,C
500000134,5,20230814,5,20230816,K4,2018008,,100000024,APJ,USD,33409,29232.875,4176.125,C,C,C
500000135,4,20230817,4,20230820,K4,2018008,,100000020,APJ,USD,131393,114968.875,16424.125,C,C,C
500000136,3,20230820,3,20230823,K4,2018008,,100000009,EMEA,USD,47816,41839.0,5977.0,C,C,C
500000137,2,20230820,2,20230821,K4,2018008,,100000007,EMEA,USD,55372,48450.5,6921.5,C,C,C
500000138,12,20230820,12,20230825,K4,2018008,,100000033,AMER,USD,81833,71603.875,10229.125,C,C,C
500000139,6,20230823,6,20230824,K4,2018008,,100000014,EMEA,USD,51576,45129.0,6447.0,C,C,C
500000140,5,20230823,5,20230828,K4,2018008,,100000015,APJ,USD,99871,87387.125,12483.875,C,C,C
500000141,5,20230825,5,20230830,K4,2018008,,100000023,APJ,USD,47703,41740.125,5962.875,C,C,C
500000142,11,20230828,11,20230830,K4,2018008,,100000004,AMER,USD,33890,29653.75,4236.25,C,C,C
500000143,5,20230829,5,20230901,K4,2018008,,100000020,APJ,USD,21862,19129.25,2732.75,C,C,C
500000144,4,20230901,4,20230905,K4,2018009,,100000023,APJ,USD,60566,52995.25,7570.75,C,C,C
500000145,8,20230901,8,20230902,K4,2018009,,100000007,EMEA,USD,40539,35471.625,5067.375,C,C,C
500000146,5,20230903,5,20230905,K4,2018009,,100000020,APJ,USD,90216,78939.0,11277.0,C,C,C
500000147,2,20230903,2,20230906,K4,2018009,,100000036,EMEA,USD,45043,39412.625,5630.375,C,C,C
500000148,14,20230903,14,20230906,K4,2018009,,100000004,AMER,USD,109812,96085.5,13726.5,C,C,C
500000149,4,20230906,4,20230910,K4,2018009,,100000018,APJ,USD,62687,54851.125,7835.875,C,C,C
500000150,5,20230906,5,20230909,K4,2018009,,100000023,APJ,USD,72691,63604.625,9086.375,C,C,C
500000151,3,20230908,3,20230910,K4,2018009,,100000039,EMEA,USD,14874,13014.75,1859.25,C,C,C
500000152,2,20230911,2,20230912,K4,2018009,,100000014,EMEA,USD,64433,56378.875,8054.125,C,C,C
500000153,4,20230912,4,20230913,K4,2018009,,100000016,APJ,USD,69265,60606.875,8658.125,C,C,C
500000154,2,20230912,2,20230915,K4,2018009,,100000037,EMEA,USD,124062,108554.25,15507.75,C,C,C
500000155,8,20230915,8,20230920,K4,2018009,,100000035,EMEA,USD,70063,61305.125,8757.875,C,C,C
500000156,2,20230915,2,20230918,K4,2018009,,100000039,EMEA,USD,108752,95158.0,13594.0,C,C,C
500000157,9,20230917,9,20230920,K4,2018009,,100000003,AMER,USD,105359,92189.125,13169.875,C,C,C
500000158,2,20230919,2,20230922,K4,2018009,,100000011,EMEA,USD,80064,70056.0,10008.0,C,C,C
500000159,8,20230922,8,20230924,K4,2018009,,100000011,EMEA,USD,52131,45614.625,6516.375,C,C,C
500000160,6,20230925,6,20230929,K4,2018009,,100000028,EMEA,USD,54468,47659.5,6808.5,C,C,C
500000161,2,20230926,2,20230929,K4,2018009,,100000039,EMEA,USD,9889,8652.875,1236.125,C,C,C
500000162,9,20230929,9,20231004,K4,2018009,,100000002,AMER,USD,29389,25715.375,3673.625,C,C,C
500000163,3,20230929,3,20231002,K4,2018009,,100000025,EMEA,USD,59089,51702.875,7386.125,C,C,C
500000164,12,20230929,12,20231003,K4,2018009,,100000004,AMER,USD,33252,29095.5,4156.5,X,X,X
500000165,2,20230929,2,20231003,K4,2018009,,100000005,EMEA,USD,112475,98415.625,14059.375,C,C,C
500000166,8,20231001,8,20231004,K4,2018010,,100000009,EMEA,USD,77065,67431.875,9633.125,C,C,C
500000167,12,20231002,12,20231007,K4,2018010,,100000003,AMER,USD,23589,20640.375,2948.625,C,C,C
500000168,6,20231002,6,20231005,K4,2018010,,100000025,EMEA,USD,126222,110444.25,15777.75,C,C,C
500000169,12,20231005,12,20231010,K4,2018010,,100000002,AMER,USD,1245,1089.375,155.625,C,C,C
500000170,3,20231007,3,20231011,K4,2018010,,100000009,EMEA,USD,59796,52321.5,7474.5,C,C,C
500000171,4,20231007,4,20231012,K4,2018010,,100000021,APJ,USD,153971,134724.625,19246.375,C,C,C
500000172,5,20231010,5,20231011,K4,2018010,,100000017,APJ,USD,120706,105617.75,15088.25,C,C,C
500000173,4,20231012,4,20231013,K4,2018010,,100000023,APJ,USD,28871,25262.125,3608.875,C,C,C
500000174,6,20231012,6,20231016,K4,2018010,,100000025,EMEA,USD,119863,104880.125,14982.875,C,C,C
500000175,5,20231012,5,20231013,K4,2018010,,100000017,APJ,USD,104790,91691.25,13098.75,C,C,C
500000176,9,20231013,9,20231017,K4,2018010,,100000033,AMER,USD,50791,44442.125,6348.875,C,C,C
500000177,8,20231013,8,20231015,K4,2018010,,100000014,EMEA,USD,44276,38741.5,5534.5,C,C,C
500000178,13,20231016,13,20231020,K4,2018010,,100000002,AMER,USD,173567,151871.125,21695.875,C,C,C
500000179,8,20231018,8,20231019,K4,2018010,,100000008,EMEA,USD,7794,6819.75,974.25,C,C,C
500000180,8,20231020,8,20231021,K4,2018010,,100000038,EMEA,USD,104780,91682.5,13097.5,C,C,C
500000181,10,20231022,10,20231027,K4,2018010,,100000030,AMER,USD,18841,16485.875,2355.125,C,C,C
500000182,6,20231025,6,20231029,K4,2018010,,100000005,EMEA,USD,38007,33256.125,4750.875,C,C,C
500000183,4,20231028,4,20231031,K4,2018010,,100000021,APJ,USD,82166,71895.25,10270.75,C,C,C
500000184,6,20231028,6,20231101,K4,2018010,,100000038,EMEA,USD,55998,48998.25,6999.75,C,C,C
500000185,4,20231030,4,20231104,K4,2018010,,100000015,APJ,USD,71013,62136.375,8876.625,C,C,C
500000186,1,20231030,1,20231103,K4,2018010,,100000000,AMER,USD,46464,40656.0,5808.0,C,C,C
500000187,3,20231102,3,20231107,K4,2018011,,100000008,EMEA,USD,6951,6082.125,868.875,C,C,C
500000188,7,20231105,7,20231106,K4,2018011,,100000031,AMER,USD,3203,2802.625,400.375,C,C,C
500000189,2,20231107,2,20231109,K4,2018011,,100000036,EMEA,USD,3990,3491.25,498.75,C,C,C
500000190,13,20231109,13,20231114,K4,2018011,,100000002,AMER,USD,8737,7644.875,1092.125,C,C,C
500000191,2,20231111,2,20231114,K4,2018011,,100000014,EMEA,USD,28161,24640.875,3520.125,C,C,C
500000192,13,20231111,13,20231116,K4,2018011,,100000032,AMER,USD,140293,122756.375,17536.625,C,C,C
500000193,6,20231112,6,20231114,K4,2018011,,100000039,EMEA,USD,82210,71933.75,10276.25,C,C,C
500000194,4,20231115,4,20231120,K4,2018011,,100000019,APJ,USD,8393,7343.875,1049.125,C,C,C
500000195,4,20231116,4,20231120,K4,2018011,,100000017,APJ,USD,71455,62523.125,8931.875,C,C,C
500000196,5,20231117,5,20231122,K4,2018011,,100000020,APJ,USD,79331,69414.625,9916.375,C,C,C
500000197,2,20231117,2,20231118,K4,2018011,,100000037,EMEA,USD,5996,5246.5,749.5,C,C,C
500000198,6,20231117,6,20231118,K4,2018011,,100000028,EMEA,USD,69065,60431.875,8633.125,C,C,C
500000199,4,20231119,4,20231124,K4,2018011,,100000016,APJ,USD,13728,12012.0,1716.0,C,C,C
500000200,9,20231119,9,20231123,K4,2018011,,100000000,AMER,USD,35580,31132.5,4447.5,C,C,C
500000201,8,20231119,8,20231121,K4,2018011,,100000035,EMEA,USD,31499,27561.625,3937.375,C,C,C
500000202,6,20231119,6,20231121,K4,2018011,,100000008,EMEA,USD,82097,71834.875,10262.125,C,C,C
500000203,2,20231120,2,20231122,K4,2018011,,100000039,EMEA,USD,57864,50631.0,7233.0,C,C,C
500000204,5,20231121,5,20231123,K4,2018011,,100000021,APJ,USD,41499,36311.625,5187.375,C,C,C
500000205,8,20231121,8,20231126,K4,2018011,,100000013,EMEA,USD,127879,111894.125,15984.875,C,C,C
500000206,6,20231124,6,20231125,K4,2018011,,100000010,EMEA,USD,134326,117535.25,16790.75,C,C,C
500000207,11,20231124,11,20231126,K4,2018011,,100000030,AMER,USD,62755,54910.625,7844.375,C,C,C
500000208,2,20231125,2,20231129,K4,2018011,,100000038,EMEA,USD,73880,64645.0,9235.0,C,C,C
500000209,5,20231126,5,20231127,K4,2018011,,100000020,APJ,USD,92995,81370.625,11624.375,C,C,C
500000210,10,20231128,10,20231203,K4,2018011,,100000034,AMER,USD,63743,55775.125,7967.875,C,C,C
500000211,5,20231130,5,20231205,K4,2018011,,100000023,APJ,USD,41599,36399.125,5199.875,C,C,C
500000212,6,20231201,6,20231206,K4,2018012,,100000013,EMEA,USD,52489,45927.875,6561.125,C,C,C
500000213,11,20231201,11,20231204,K4,2018012,,100000004,AMER,USD,69101,60463.375,8637.625,C,C,C
500000214,8,20231201,8,20231204,K4,2018012,,100000011,EMEA,USD,78788,68939.5,9848.5,C,C,C
500000215,6,20231203,6,20231205,K4,2018012,,100000036,EMEA,USD,89743,78525.125,11217.875,C,C,C
500000216,7,20231205,7,20231210,K4,2018012,,100000033,AMER,USD,83483,73047.625,10435.375,C,C,C
500000217,5,20231207,5,20231211,K4,2018012,,100000019,APJ,USD,79639,69684.125,9954.875,C,C,C
500000218,5,20231207,5,20231208,K4,2018012,,100000022,APJ,USD,77415,67738.125,9676.875,C,C,C
500000219,1,20231207,1,20231210,K4,2018012,,100000001,AMER,USD,8986,7862.75,1123.25,C,C,C
500000220,11,20231210,11,20231211,K4,2018012,,100000002,AMER,USD,2241,1960.875,280.125,C,C,C
500000221,3,20231211,3,20231216,K4,2018012,,100000029,EMEA,USD,77130,67488.75,9641.25,C,C,C
500000222,5,20231213,5,20231218,K4,2018012,,100000017,APJ,USD,156424,136871.0,19553.0,C,C,C
500000223,4,20231215,4,20231217,K4,2018012,,100000023,APJ,USD,33076,28941.5,4134.5,C,C,C
500000224,2,20231216,2,20231219,K4,2018012,,100000028,EMEA,USD,25623,22420.125,3202.875,C,C,C
500000225,3,20231219,3,20231220,K4,2018012,,100000006,EMEA,USD,113112,98973.0,14139.0,C,C,C
500000226,6,20231221,6,20231222,K4,2018012,,100000036,EMEA,USD,10043,8787.625,1255.375,C,C,C
500000227,5,20231223,5,20231226,K4,2018012,,100000024,APJ,USD,9600,8400.0,1200.0,C,C,C
500000228,3,20231224,3,20231226,K4,2018012,,100000025,EMEA,USD,61793,54068.875,7724.125,C,C,C
500000229,4,20231225,4,20231226,K4,2018012,,100000017,APJ,USD,1356,1186.5,169.5,C,C,C
500000230,4,20231227,4,20231229,K4,2018012,,100000017,APJ,USD,66098,57835.75,8262.25,C,C,C
500000231,6,20231230,6,20231231,K4,2018012,,100000008,EMEA,USD,53949,47205.375,6743.625,C,C,C
500000232,2,20240102,2,20240104,K4,2019001,,100000037,EMEA,USD,43370,37948.75,5421.25,C,C,C
500000233,5,20240104,5,20240107,K4,2019001,,100000019,APJ,USD,12836,11231.5,1604.5,C,C,C
500000234,1,20240105,1,20240110,K4,2019001,,100000032,AMER,USD,51889,45402.875,6486.125,C,C,C
500000235,8,20240106,8,20240108,K4,2019001,,100000037,EMEA,USD,74952,65583.0,9369.0,C,C,C
500000236,1,20240109,1,20240112,K4,2019001,,100000031,AMER,USD,76542,66974.25,9567.75,C,C,C
500000237,2,20240111,2,20240115,K4,2019001,,100000035,EMEA,USD,35181,30783.375,4397.625,C,C,C
500000238,9,20240111,9,20240112,K4,2019001,,100000001,AMER,USD,49230,43076.25,6153.75,C,C,C
500000239,3,20240113,3,20240115,K4,2019001,,100000037,EMEA,USD,133675,116965.625,16709.375,C,C,C
500000240,2,20240115,2,20240120,K4,2019001,,100000025,EMEA,USD,51997,45497.375,6499.625,C,C,C
500000241,2,20240117,2,20240120,K4,2019001,,100000027,EMEA,USD,116842,102236.75,14605.25,C,C,C
500000242,8,20240120,8,20240122,K4,2019001,,100000037,EMEA,USD,192075,168065.625,24009.375,C,C,C
500000243,10,20240121,10,20240124,K4,2019001,,100000031,AMER,USD,69109,60470.375,8638.625,C,C,C
500000244,9,20240122,9,20240127,K4,2019001,,100000030,AMER,USD,165757,145037.375,20719.625,C,C,C
500000245,2,20240125,2,20240130,K4,2019001,,100000029,EMEA,USD,16998,14873.25,2124.75,C,C,C
500000246,4,20240126,4,20240127,K4,2019001,,100000023,APJ,USD,14810,12958.75,1851.25,C,C,C
500000247,14,20240128,14,20240129,K4,2019001,,100000033,AMER,USD,43491,38054.625,5436.375,C,C,C
500000248,8,20240130,8,20240201,K4,2019001,,100000006,EMEA,USD,22378,19580.75,2797.25,C,C,C
500000249,5,20240202,5,20240203,K4,2019002,,100000023,APJ,USD,102365,89569.375,12795.625,C,C,C
500000250,8,20240203,8,20240206,K4,2019002,,100000039,EMEA,USD,95985,83986.875,11998.125,C,C,C
