ADDRESSID,CITY,POSTALCODE,STREET,BUILDING,COUNTRY,REGION,ADDRESSTYPE,VALIDITY_STARTDATE,VALIDITY_ENDDATE,LATITUDE,LONGITUDE
1000000005,Mumbai,400015,T.k.indui Estate,11.0,IN,APJ,1,20250101,99991231,19.175001,72.850043
1000000006,Dubai,89610,Box No. 89610,,DU,EMEA,1,20250101,99991231,24.968781,55.129116
1000000007,Annaheim,S4P 3Y2,St. John Street,2845.0,CA,AMER,1,20250101,99991231,52.319432,-104.820274
1000000008,Strasbourg,67100,rue Descartes,23.0,FR,EMEA,1,20250101,99991231,48.578824,7.762616
1000000009,San Luis Obispo,93401,Par Drive,1378.0,US,AMER,1,20250101,99991231,35.284387,-120.659734
1000000010,Jersey City,07305,Lakewood Drive,285.0,US,AMER,1,20250101,99991231,40.816042,-74.188869
1000000011,Wingate,79566,Frederick Street,728.0,US,AMER,1,20250101,99991231,39.418878,-77.409172
1000000012,Toronto,M2J 3T7,Victoria Park Ave,2523.0,CA,AMER,1,20250101,99991231,43.748615,-79.311992
1000000013,Toronto,M1S 1T4,Sheppard Ave,1122.0,CA,AMER,1,20250101,99991231,43.74748,-79.482548
1000000014,Toronto,P3E 4N2,Paris St,3443.0,CA,AMER,1,20250101,99991231,43.609163,-79.645953
